hop_in,hop_out,origin,intermediary,destination,amount_in,amount_out,hours_held
TXNR0192,TXNR0193,ACC100363,ACC100043,ACC100446,17752.84,17601.7,1.0
TXNR0121,TXNR0122,ACC101026,ACC102565,ACC102620,20796.43,20316.91,1.0
TXNR0181,TXNR0182,ACC101353,ACC102901,ACC100252,18439.0,18324.46,1.0
TXNR0211,TXNR0212,ACC101953,ACC101482,ACC101023,37043.54,36838.22,2.0
TXNR0162,TXNR0163,ACC100448,ACC102095,ACC100815,27183.65,28334.95,2.0
TXNR0232,TXNR0233,ACC102406,ACC100540,ACC100134,43284.64,42411.71,3.0
TXNR0231,TXNR0232,ACC102210,ACC102406,ACC100540,42106.83,43284.64,3.0
TXNR0171,TXNR0172,ACC100654,ACC102094,ACC100599,30037.08,30492.31,3.0
TXNR0221,TXNR0222,ACC102381,ACC100710,ACC100923,15617.65,15217.44,3.0
TXNR0191,TXNR0192,ACC101333,ACC100363,ACC100043,17455.82,17752.84,3.0
TXNR0242,TXNR0243,ACC101773,ACC100816,ACC102041,42551.77,42770.01,3.0
TXNR0161,TXNR0162,ACC102534,ACC100448,ACC102095,26528.78,27183.65,3.0
TXN0054115,TXN0032669,ACC102304,ACC102325,ACC102354,1296.84,1190.46,3.6
TXNR0222,TXNR0223,ACC100710,ACC100923,ACC101972,15217.44,15528.09,4.0
TXNR0202,TXNR0203,ACC101279,ACC100454,ACC101536,22620.38,22212.63,4.0
TXNR0122,TXNR0123,ACC102565,ACC102620,ACC101573,20316.91,20069.39,4.0
TXNR0152,TXNR0153,ACC100829,ACC102008,ACC101850,19131.72,19413.06,5.0
TXNR0201,TXNR0202,ACC101722,ACC101279,ACC100454,22429.93,22620.38,5.0
TXNR0241,TXNR0242,ACC101117,ACC101773,ACC100816,41073.53,42551.77,5.0
TXNR0141,TXNR0142,ACC101745,ACC102706,ACC102070,39339.22,38801.32,5.0
TXNR0182,TXNR0183,ACC102901,ACC100252,ACC101843,18324.46,18951.05,5.0
TXNR0132,TXNR0133,ACC101329,ACC102467,ACC101021,20028.65,21211.82,5.0
TXNR0131,TXNR0132,ACC102860,ACC101329,ACC102467,20909.55,20028.65,5.0
TXNR0151,TXNR0152,ACC101683,ACC100829,ACC102008,19757.7,19131.72,6.0
TXNR0212,TXNR0213,ACC101482,ACC101023,ACC100578,36838.22,38804.94,6.0
TXNR0172,TXNR0173,ACC102094,ACC100599,ACC102491,30492.31,28753.96,6.0
TXNR0142,TXNR0143,ACC102706,ACC102070,ACC101178,38801.32,37477.3,6.0
TXN0029208,TXN0044939,ACC100886,ACC102669,ACC100161,2987.97,2921.14,9.8
TXN0043297,TXN0008886,ACC100758,ACC100043,ACC100686,1415.79,1418.68,11.7
TXN0052575,TXN0031376,ACC101910,ACC100027,ACC100817,1298.61,1287.45,15.2
