transaction_id,timestamp,sender_account,receiver_account,amount,currency,sender_country,receiver_country,transaction_type,channel,quarantine_reason
TXN0012920,2025-02-09 00:51:44,ACC102130,ACC102612,,GBP,Ireland,United States,deposit,unknown,amount_missing
TXN0018839,2025-09-17 22:29:26,ACC101596,ACC101793,,GBP,United Kingdom,United Kingdom,payment,unknown,amount_missing
TXN0046320,2025-10-31 13:57:55,ACC101984,ACC102027,-188.5,GBP,Ireland,Canada,deposit,mobile_app,amount_negative
TXN0056074,2025-12-03 03:42:29,ACC102383,ACC100892,,GBP,Ireland,Malta,transfer,unknown,amount_missing
TXN0023606,2025-02-14 05:38:54,ACC100660,ACC102240,,GBP,Canada,Spain,deposit,unknown,amount_missing
TXN0031241,2025-10-10 14:23:59,ACC101526,ACC102062,-128.73,GBP,United States,Australia,deposit,card_payment,amount_negative
TXN0026255,2025-07-19 12:35:05,ACC100843,ACC101822,,GBP,Netherlands,Australia,deposit,unknown,amount_missing
TXN0023528,2025-01-05 04:42:53,ACC100815,ACC101902,-247.23,GBP,Netherlands,Ireland,deposit,wire_transfer,amount_negative
TXN0019958,2025-07-20 09:52:22,ACC102008,ACC101790,,GBP,Netherlands,United States,deposit,unknown,amount_missing
TXN0052600,2025-07-29 11:40:05,ACC102835,ACC102752,-708.18,GBP,Spain,Spain,transfer,wire_transfer,amount_negative
TXN0036750,2025-01-28 20:30:29,ACC100460,ACC100465,-162.21,GBP,Spain,France,payment,wire_transfer,amount_negative
TXN0003187,2025-06-16 23:55:54,ACC101649,ACC101292,,GBP,Australia,Germany,withdrawal,unknown,amount_missing
TXN0053345,2025-03-21 09:18:16,ACC101728,ACC101967,,GBP,Germany,Australia,withdrawal,unknown,amount_missing
TXN0029093,2025-10-25 15:44:36,ACC100359,ACC101222,,GBP,United Kingdom,United States,withdrawal,unknown,amount_missing
TXN0037017,2025-08-08 17:46:05,ACC102255,ACC101387,,GBP,Spain,Canada,deposit,unknown,amount_missing
TXN0009209,2025-04-13 16:51:32,ACC100020,ACC101330,,GBP,United Kingdom,United Kingdom,deposit,unknown,amount_missing
TXN0033014,2025-10-17 01:43:33,ACC100375,ACC100300,,GBP,United States,United Kingdom,payment,unknown,amount_missing
TXN0024919,2025-08-29 05:00:48,ACC101861,ACC102236,,GBP,Canada,Australia,payment,unknown,amount_missing
TXN0043471,2025-05-04 20:28:05,ACC100928,ACC101708,,GBP,Germany,Australia,transfer,unknown,amount_missing
